产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,1,DD1350,R,1350-灯带,"DC12V, SMD5050, 1350mm",FPCB,黑泊板,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,2,DD1350,R1,自粘灯带固定卡扣,以实际为准,PP,白色,零件,5
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,3,LG05254WH,X01,254拉杆,Ø5x254mm,Q195,白砂纹,零件,2
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,4,SLHGZZ002WH,BL,325mm布抽条左,325x25x23mm,PP&GF40,白色,零件,6
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,5,SLHGZY002WH,BR,325mm布抽条右,325x25x23mm,PP&GF40,白色,零件,6
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,6,ZJG150654WH,M,54底脚,70x15x15,Q195,白砂纹,零件,2
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,7,LGS334XQYHLWH,G2,LGS334_434_834-底部横杆右-前_组件,708x15x15mm,Q195,白砂纹,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,8,LGS334XHYHLWH,F2,LGS334_434_834-底部横杆右-后_组件,708x15x15mm,Q195,白砂纹,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,9,LGS334XQZHLWH,G1,LGS334_434_834-底部横杆左-前,760x15x15mm,Q195,白砂纹,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,10,LGS334XHZHLWH,F1,LGS334_434_834-底部横杆左-后,760x15x15mm,Q195,白砂纹,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,11,LGS834ZYKWH,C,LGS834中框,391x335x15mm,Q195,白砂纹,零件,2
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,12,LGS834YKWH,E,LGS834右侧框,659x335x15mm,Q195,白砂纹,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,13,LGS834DB202WH,A1,LGS834右顶板,734x350x12mm,PB,白色,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,14,LGS834CB201WH,A3,LGS834层板,714x350x12mm,Q195,白色,零件,2
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,15,LGS834ZKWH,D,LGS834左侧框,659x335x15mm,Q195,白砂纹,零件,1
BOM - LGS834-3列3层开放层架带灯带电6抽斗柜-57inch,LGS834WH02S,350Dx1468Wx681Hmm,白色,16,LGS834DB201WH,A2,LGS834左顶板,734x350x12mm,PB,白色,零件,1
