产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,1,LGS421DB101KD,A2,LGS421-S_顶板左,895x350x12mm,PB,复古色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,2,LGS421SHLBH,F1,LGS421-S-顶部横杆后,947x15x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,3,LGS421SHLBH,F2,LGS421-S-顶部横杆前,947x15x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,4,PC221BH,S,排插带尾插,英规-2AC+1USB+1 Type C插座,ABS,黑色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,5,LGS421DB102KD,A1,LGS421-S_顶板右,895x350x12mm,PB,复古色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,6,DD1700,R,1700-灯带,DC12V，SMD5050，1700mm,FPCB,黑泊板,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,7,DD1700,R1,自粘灯带固定卡扣,以实际为准,PP,本色,零件,5
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,8,LGS421YZKBH,C2,LGS421_420-S_231_131-右中框,576x335x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,9,LGS421CBZYKD,A4,LGS421_420-S-侧板层板,386.5x335x12mm,PB,复古色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,10,BCDB46031723BH,Z08,LGS布抽底板32.5X46,455x320x3mm,MDF&无纺布,黑色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,11,BC4603327188KD,Y06,LGS布抽46x32.5x18.7,460x325x187mm,MDF&无纺布,复古色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,12,LGS421ZLKBH,G,LGS421_420-S-支撑框,335x198x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,13,SLHGZZ002BH,BL,325mm布抽条左,325x25x20mm,PP&GF40,黑色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,14,SLHGZY002BH,BR,325mm布抽条右,325x25x20mm,PP&GF40,黑色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,15,LGS421XHLBH,E,LGS421-S-底部横杆,947x15x15mm,Q195,黑砂纹,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,16,LGS421ZZKBH,C1,LGS421_420-S_231_131-左中框,576x335x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,17,LGS421CBZKD,A3,LGS421-S_中间层板,947x335x12mm,PB,复古色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,18,LGS421ZYKBH,D,LGS421_420-S_231_131-左右侧框,576x335x15mm,Q195,黑砂纹,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,19,LG05254BH,X01,254拉杆,Ø5x254mm,Q195,黑砂纹,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,20,LGS421ZFXKD,无,中封箱,1030×380×135mm,瓦楞纸,纸色,包材,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,21,ZHJ5050115,无,纸护角,50×50×115mm,瓦楞纸,纸色,包材,4
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,22,LGS421ZK,无,纸卡,单瓦1000×60,瓦楞纸单瓦,纸色,包材,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,23,LGS421PM001,无,泡沫,"16Kg,367×115×10mm",EPS泡沫,白色,包材,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-70inch,LGS421K101S,350Dx1790Wx598Hmm,复古色,24,LGS421PM002,无,泡沫,"16Kg,350×35×30mm",EPS泡沫,白色,包材,2
