产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,0,LGS420WJBBH,无,LGS420五金包,详见明细,无,黑色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,白色,0,LGS420WJBWH,无,LGS420五金包,详见明细,无,黑色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,黑色,0,LGS420WJBBH,无,LGS420五金包,详见明细,无,黑色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,1,LGS420SHLBHGK,F2,LGS420-S-顶部横杆后,727x15x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,2,LGS420ZLKBH,G,LGS421_420-S-支撑框,335x198x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,3,PC221BH,S,排插带尾插,英规-2AC+1USB+1 Type C插座,ABS,黑色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,4,LGS420DB102KD,A1,LGS420-S-顶板右,785x350x12mm,PB,复古色,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,5,DD1500,R,1500-灯带,DC12V，SMD5050，1500mm,FPCB,黑泊板,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,6,DD1500,R1,自粘灯带固定卡扣,以实际为准,PP,本色,零件,5
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,7,LGS420SHLBH,F1,LGS420-S-顶部横杆前,727x15x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,8,LGS420YZKBHGK,C2,LGS421_420-S_231_131-右中框,576x335x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,9,BCDB35031723BH,Z06,LGS-布抽底板32.5X35,345x322x3mm,MDF&无纺布,黑色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,10,BC3503327188KD,Y14,LGS布抽35x32.5x18.7,350x325x188mm,MDF&无纺布,复古色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,11,SLHGZZ002BH,BL,325mm布抽条左,325x25x20mm,PP&GF40,黑色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,12,SLHGZY002BH,BR,325mm布抽条右,325x25x20mm,PP&GF40,黑色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,13,LGS420XHLBH,E,LGS420-S-底部横杆,727x15x15mm,Q195,黑砂纹,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,14,LGS420ZZKBHGK,C1,LGS421_420-S_231_131-左中框,576x335x15mm,Q195,黑砂纹,零件,1
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,15,LGS420CBZYKD,A4,LGS421_420-S-侧板层板,386.5x335x12mm,PB,复古色,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,16,LGS420ZYKBH,D,LGS421_420-S_231_131-左右侧框,576x335x15mm,Q195,黑砂纹,零件,2
BOM - 复古色4列2层2抽开放式带灯带电布抽电视柜-63inch,LGS420K101S,350Dx1570Wx598Hmm,复古色,17,LGS420CBZKD,A3,LGS420-S-中间层板,727x335x12mm,PB,复古色,零件,1
