产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,复古色,0,LGS233WJBBH,无,LGS233五金包,详见明细,无,黑色,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,白色,0,LGS233WJBWH,无,LGS233五金包,详见明细,无,黑色,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,0,LGS233WJBBH,无,LGS233五金包,详见明细,无,黑色,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,1,LG05254BH,X01,254拉杆,Ø5x254mm,Q195,黑砂纹,零件,2
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,2,SLHGZZ002BH,BL,325mm布抽条左,325x25x23mm,PP&GF40,黑色,零件,9
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,3,SLHGZY002BH,BR,325mm布抽条右,325x25x23mm,PP&GF40,黑色,零件,9
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,4,ZJG150654BH,M,54底脚(螺纹长23mm),80x15x15,Q195,黑砂纹,零件,4
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,5,LG05595BH,X02,595拉杆,Ø5x595mm,Q195,黑砂纹,零件,2
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,6,LGS233ZYKBH,C,LGS133_233中框,584x335x15mm,Q195,黑砂纹,零件,2
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,7,LGS233XQYHLBH,G,LGS233-底部横杆右-前,849x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,8,LGS233XHYHLBH,F,LGS233-底部横杆右-后,849x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,9,LGS233XQZHLBH,K,LGS233-底部横杆左-前_组件,889x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,10,LGS233XHZHLBH,J,LGS233-底部横杆左-后_组件,889x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,11,LGS233DB201BH,A,LGS233-顶面板,869x350x12mm,PB,黑色,零件,2
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,12,LGS233YKBH,E,LGS233右侧框,659x335x15mm,Q195,黑砂纹,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,13,LGS233ZKBH,D,LGS233左侧框,659x335x15mm,Q195,黑砂纹,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,14,LGS233SZQHLBH,S,LGS233顶部横杆,556x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,15,BC548327171BH,Y09,LGS布抽55x32.5x17.3,550x325x173mm,MDF&无纺布,黑色,零件,1
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,16,BC548327186BH,Y08,LGS布抽55x32.5x18.7,550x325x188mm,MDF&无纺布,黑色,零件,8
BOM - LGS233-3列3层9抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,黑色,17,BCDB53831725BH,Z09,LGS布抽底板32.5x55,545x320x3mm,MDF&无纺布,黑色,零件,9
