产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,1,LG05254BH,X01,254拉杆,Ø5x254mm,Q195,黑砂纹,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,2,SLHGZZ001BH,BL,280mm布抽条左,280x25x23mm,PP&GF40,黑色,零件,8
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,3,SLHGZY001BH,BR,280mm布抽条右,280x25x23mm,PP&GF40,黑色,零件,8
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,4,DD0500,R,500-灯带,"DC12V, SMD5050, 500mm",FPCB,黑泊板,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,5,DD0500,R1,自粘灯带固定卡扣,以实际为准,PP,本色,零件,5
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,6,ZJG150654BH,M,54底脚,70x15x15,Q195,黑砂纹,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,7,LGS433YKBH,E,LGS333-433右侧框,659x290x15mm,Q195,黑砂纹,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,8,LGS433ZKBH,D,LGS333-433左侧框,659x290x15mm,Q195,黑砂纹,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,9,LGS433XZQSLBH,L2,LGS333_334_433_434中竖梁-前,391x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,10,LGS433XZHSLBH,L1,LGS333_334_433_434中竖梁-后,391x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,11,LGS433XQHLBH,G,LGS333_433_733_833底部横杆前,1098x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,12,LGS433XHHLBH,F,LGS333_433_733_833底部横杆后,1098x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,13,LGS433CB101KD,C,LGS433-层板,542x290x12mm,PB,复古色,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,14,LGS433DB101KD,A,LGS433-顶面板,1138x300x12mm,PB,复古色,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,15,LGS433SZKBH,I2,LGS433支撑框-右,290x178x15mm,Q195,黑砂纹,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,16,LGS433SZKBH,I1,LGS433支撑框-左,290x178x15mm,Q195,黑砂纹,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,17,LGS433SQHLDEPBH,J,LGS433顶部横杆,1098x31x15mm,Q195,黑砂纹,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,18,BC255282166KD,Y10,LGS布抽25.7x28x16.8,257x280x168mm,MDF&无纺布,复古色,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,19,BC348282186KD,Y05,LGS布抽35x28x18.7,350x280x187mm,MDF&无纺布,复古色,零件,6
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,20,BCDB24527223BH,Z01,LGS布抽底板28x25.7,252x275x3mm,MDF&无纺布,黑色,零件,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,21,BCDB33827223BH,Z05,LGS布抽底板28x35,345x275x3mm,MDF&无纺布,黑色,零件,6
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,22,PC221BH,S,排插带尾插,英规-2AC+1USB+1TypeC插座,ABS,黑色,零件,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,23,LGS433PKXKD,无,平口箱,1185×330×110mm,瓦楞纸,纸色,包材,1
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,24,ZHJ5050100,无,纸护角,50×50×100mm,瓦楞纸,纸色,包材,4
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,25,PPHJ1285,无,PP护角,"内径高12mm,边厚度8.5mm",PP,黑色,包材,8
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,26,LGS433PM001,无,泡沫,"20kg,320×100×8mm",EPS泡沫,白色,包材,2
BOM - LGS433-3列3层灯电款开放空间8抽斗柜-45inch,LGS433KD02S,300Dx1138Wx681Hmm,复古色,27,LGS433PM002,无,泡沫,"16kg,925×295×10mm",EPS泡沫,白色,包材,2
