产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,1,LGS101CB101KD,A005,LGS111-S-底部板,356x290x12mm,PB,复古色,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,2,LGS101DB101KD,A007,LGS111-S-顶面面板,396x300x12mm,PB,复古色,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,3,LGS101ZCKBH,C003,LGS111-S-侧框左,579x290x15mm,Q195,黑砂纹,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,4,LGS101YCKBH,C004,LGS111-S-侧框右,579x290x15mm,Q195,黑砂纹,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,5,LGS101HLBH,E001,LGS111-S-顶部横杆,356x15x15mm,Q195,黑砂纹,零件,4
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,6,LG05473BH,X04,十字拉杆,Ø5x495mm,Q195,黑砂纹,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,7,BC350282150KD,Y18,LGS布抽35x28x15,350x280x150mm,MDF&无纺布,复古色,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,8,BCDB34027223KD,Z05,LGS布抽底板28x35,340x270x3mm,MDF&无纺布,黑色,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,9,SLHGZZ001BH,BL,280mm布抽条左,280x25x20mm,PP&GF40,黑色,零件,2
BOM - 复古色2抽玄关桌,LGS111K101S,300Dx396Wx580Hmm x2,复古色,10,SLHGZY001BH,BR,280mm布抽条右,280x25x20mm,PP&GF40,黑色,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,1,LGS101CB101WH,A005,LGS111-S-底部板,356x290x12mm,PB,白色,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,2,LGS101DB101WH,A007,LGS111-S-顶面面板,396x300x12mm,PB,白色,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,3,LGS101ZCKWH,C003,LGS111-S-侧框左,579x290x15mm,Q195,白砂纹,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,4,LGS101YCKWH,C004,LGS111-S-侧框右,579x290x15mm,Q195,白砂纹,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,5,LGS101HLWH,E001,LGS111-S-顶部横杆,356x15x15mm,Q195,白砂纹,零件,4
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,6,LG05473WH,X04,十字拉杆,Ø5x495mm,Q195,白砂纹,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,7,BC350282150WH,Y18,LGS布抽35x28x15,350x280x150mm,MDF&无纺布,白色,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,8,BCDB34027223WH,Z05,LGS布抽底板28x35,340x270x3mm,MDF&无纺布,黑色,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,9,SLHGZZ001WH,BL,280mm布抽条左,280x25x20mm,PP&GF40,白色,零件,2
BOM - 白色2抽玄关桌,LGS111W101S,300Dx396Wx580Hmm x2,白色,10,SLHGZY001WH,BR,280mm布抽条右,280x25x20mm,PP&GF40,白色,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,1,LGS101CB101BH,A005,LGS111-S-底部板,356x290x12mm,PB,黑色,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,2,LGS101DB101BH,A007,LGS111-S-顶面面板,396x300x12mm,PB,黑色,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,3,LGS101ZCKBH,C003,LGS111-S-侧框左,579x290x15mm,Q195,黑砂纹,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,4,LGS101YCKBH,C004,LGS111-S-侧框右,579x290x15mm,Q195,黑砂纹,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,5,LGS101HLBH,E001,LGS111-S-顶部横杆,356x15x15mm,Q195,黑砂纹,零件,4
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,6,LG05473BH,X04,十字拉杆,Ø5x495mm,Q195,黑砂纹,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,7,BC350282150BH,Y18,LGS布抽35x28x15,350x280x150mm,MDF&无纺布,黑色,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,8,BCDB34027223BH,Z05,LGS布抽底板28x35,340x270x3mm,MDF&无纺布,黑色,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,9,SLHGZZ001BH,BL,280mm布抽条左,280x25x20mm,PP&GF40,黑色,零件,2
BOM - 黑色2抽玄关桌,LGS111B101S,300Dx396Wx580Hmm x2,黑色,10,SLHGZY001BH,BR,280mm布抽条右,280x25x20mm,PP&GF40,黑色,零件,2
