产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,0,LGS334WJBBH,无,LGS334五金包,详见明细,无,黑色,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,1,LG05254BH,X01,254拉杆,Ø5x254mm,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,2,SLHGZZ002BH,BL,325mm布抽条左,325x25x23mm,PP&GF40,黑色,零件,10
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,3,SLHGZY002BH,BR,325mm布抽条右,325x25x23mm,PP&GF40,黑色,零件,10
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,4,ZJG150654BH,M,54底脚,70x15x15,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,5,LGS334XZQSLBH,L2,LGS333_334_433_434中竖梁-前,391x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,6,LGS334XZHSLBH,L1,LGS333_334_433_434中竖梁-后,391x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,7,LGS334SQYHLBH,T,LGS334-顶部横杆右_组件,708x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,8,LGS334DB201BH,A,LGS334-顶面板,734x350x12mm,PB,黑色,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,9,LGS334XQZHLBH,G,LGS334_434_834-底部横杆左-前,760x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,10,LGS334XHZHLBH,F,LGS334_434_834-底部横杆左-后,760x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,11,LGS334XQYHLBH,K,LGS334_434_834-底部横杆右-前_组件,708x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,12,LGS334XHYHLBH,J,LGS334_434_834-底部横杆右-后_组件,708x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,13,LGS334YKBH,E,LGS334_434右侧框,659x335x15mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,14,LGS334ZKBH,D,LGS334_434左侧框,659x335x15mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,15,LGS334SZKBH,C,LGS334支撑框-中间,335x178x47mm,Q195,黑砂纹,零件,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,16,LGS334SZKBH,I,LGS334支撑框-左右,335x178x15mm,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,17,LGS334SQZHLBH,R,LGS334顶部横杆左,760x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,18,BC338327166BH,Y11,LGS布抽34x32.5x16.8,340x325x168mm,MDF&无纺布,黑色,零件,4
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,19,BC458327186BH,Y06,LGS布抽46x32.5x18.7,460x325x187mm,MDF&无纺布,黑色,零件,6
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,20,BCDB32831723BH,Z4,LGS布抽底板32.5x34,335x320x3mm,MDF&无纺布,黑色,零件,4
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,21,BCDB44831723BH,Z08,LGS布抽底板32.5x46,455x320x3mm,MDF&无纺布,黑色,零件,6
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,22,LGS334ZFXBH,无,中封箱,860×415×140mm,瓦楞纸,纸色,包材,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,23,ZHJ5050130,无,纸护角,50×50×130mm,瓦楞纸,纸色,包材,4
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,24,SCPPHJ505030,无,双层PP护角,50×50×30mm,PP,黑色,包材,4
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,25,LGS334PM001,无,泡沫,"20kg,402×130×10mm",EPS泡沫,白色,包材,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,26,LGS334PM002,无,泡沫,"16kg,390×34×22mm",EPS泡沫,白色,包材,2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,27,LGS334ZK,无,纸卡,单瓦840×60mm,瓦楞纸单瓦,纸色,包材,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,28,LGS334SMS,无,说明书,A4,铜版纸,黑白,包材,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,29,XHBBL010,无,序号标BL,∅10mm,不干胶纸,白底黑字,包材,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,30,XHBBR010,无,序号标BR,∅10mm,不干胶纸,白底黑字,包材,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,31,JGB120052,无,警告标,120×52mm,不干胶纸,按样,包材,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,1,LNSLSD65254BZ,1,L型内六角带十字螺丝刀,S4,#10,镀锌,五金包,1
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,2,NLPLS6022BH,2,M6x22内六角螺丝,M6x22mm,#10,黑色,五金包,28+2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,3,NLPLS6010BH,3,M6x10内六角螺丝,M6x10mm,#10,黑色,五金包,12+2
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,4,BCLS129228BH,4,把手,129x22x8mm,PP&GF40,黑色,五金包,10
BOM - LGS334-3列3层基础款10抽斗柜-57inch,LGS334BH02S,350Dx1468Wx681Hmm,黑色,5,ZGLS4010CZ,5,ST4x10圆头十字自攻螺丝,ST4x10mm,#10,黑色,五金包,20+2
