产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,1,PC221BH,S,排插带尾插,英规-2AC+1USB+1 Type C插座,ABS,黑色,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,2,LGS131DB102KD,A1,LGS131-右顶板,785x350x12mm,PB,复古色,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,3,DD1500,R,1500-灯带,DC12V，SMD5050，1500mm,FPCB,黑泊板,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,4,DD1500,R1,自粘灯带固定卡扣,以实际为准,PP,本色,零件,5
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,5,LGS131SHLBH,F,LGS231_131-顶部横杆前,556x15x15mm,Q195,黑砂纹,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,6,LGS131ZYKBH,D,LGS421_420-S_231_131-左右侧框,576x335x15mm,Q195,黑砂纹,零件,2
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,7,LGS131YZKBHGK,C2,LGS421_420-S_231_131-右中框,576x335x15mm,Q195,黑砂纹,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,8,SLHGZY002BH,BR,325mm布抽条右,325x25x20mm,PP&GF40,黑色,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,9,BCDB55031723BH,Z09,LGS布抽底板32.5X55,545x320x3mm,MDF&无纺布,黑色,零件,1
BOM - 复古色3列2层1抽开放式带灯带电布抽电视柜-63inch,LGS131K101S,350Dx1570Wx598Hmm,复古色,10,BC5503327188KD,Y08,LGS布抽55x32.5x18.7,550x325x187mm,MDF&无纺布,复古色,零件,1
