产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,0,LGS132WJBBH,无,LGS132五金包,详见明细,无,黑色,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,1,LGS132DB101BH,A2,LGS132-S-左顶板,734x350x12mm,PB,黑色,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,2,PC221BH,S,排插带尾插,英规-2AC+1USB+1 Type C插座,ABS,黑色,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,3,DD0400,R,400-灯带,DC12V，SMD5050，400mm,FPCB,黑泊板,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,4,DD0400,R1,自粘灯带固定卡扣,以实际为准,PP,本色,零件,5
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,5,LGS132YZKBH,C2,LGS132_232-S-中框右,584x335x15mm,Q195,黑砂纹,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,6,LGS132DB102BH,A1,LGS132-S-右顶板,734x350x12mm,PB,黑色,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,7,LGS132YKBH,E,LGS132_232-S-侧框右,657x335x15mm,Q195,黑砂纹,零件,1
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,8,SLHGZZ002BH,BL,325mm布抽条左,325x25x20mm,PP&GF40,黑色,零件,6
BOM - 烟墨黑3列3层6抽开放式带灯带电布抽电视柜-57inch,LGS132B101S,350Dx1468Wx679Hmm,黑色,9,LGS132XHYHLBH,F1,LGS132-S-底部横杆右-后,764x31x15mm,Q195,黑砂纹,零件,1
